Month,Interest
2004-01,19
2004-02,19
2004-03,14
2004-04,11
2004-05,9
2004-06,4
2004-07,4
2004-08,5
2004-09,10
2004-10,25
2004-11,16
2004-12,13
2005-01,17
2005-02,28
2005-03,17
2005-04,14
2005-05,9
2005-06,7
2005-07,5
2005-08,7
2005-09,13
2005-10,28
2005-11,27
2005-12,19
2006-01,20
2006-02,21
2006-03,22
2006-04,17
2006-05,14
2006-06,10
2006-07,6
2006-08,7
2006-09,10
2006-10,14
2006-11,15
2006-12,13
2007-01,13
2007-02,21
2007-03,14
2007-04,11
2007-05,8
2007-06,6
2007-07,5
2007-08,6
2007-09,8
2007-10,14
2007-11,13
2007-12,11
2008-01,15
2008-02,32
2008-03,21
2008-04,12
2008-05,8
2008-06,6
2008-07,4
2008-08,4
2008-09,8
2008-10,12
2008-11,12
2008-12,10
2009-01,10
2009-02,18
2009-03,18
2009-04,72
2009-05,49
2009-06,23
2009-07,17
2009-08,20
2009-09,30
2009-10,39
2009-11,25
2009-12,12
2010-01,9
2010-02,9
2010-03,9
2010-04,9
2010-05,8
2010-06,6
2010-07,4
2010-08,6
2010-09,9
2010-10,10
2010-11,10
2010-12,9
2011-01,13
2011-02,20
2011-03,13
2011-04,8
2011-05,6
2011-06,4
2011-07,4
2011-08,4
2011-09,8
2011-10,9
2011-11,8
2011-12,6
2012-01,7
2012-02,11
2012-03,13
2012-04,8
2012-05,6
2012-06,4
2012-07,4
2012-08,5
2012-09,8
2012-10,9
2012-11,9
2012-12,18
2013-01,35
2013-02,17
2013-03,11
2013-04,9
2013-05,6
2013-06,4
2013-07,4
2013-08,4
2013-09,9
2013-10,11
2013-11,9
2013-12,13
2014-01,23
2014-02,13
2014-03,9
2014-04,9
2014-05,7
2014-06,4
2014-07,4
2014-08,5
2014-09,9
2014-10,14
2014-11,11
2014-12,29
2015-01,28
2015-02,16
2015-03,13
2015-04,13
2015-05,8
2015-06,5
2015-07,4
2015-08,5
2015-09,8
2015-10,11
2015-11,9
2015-12,9
2016-01,10
2016-02,18
2016-03,21
2016-04,13
2016-05,7
2016-06,4
2016-07,3
2016-08,4
2016-09,8
2016-10,9
2016-11,8
2016-12,10
2017-01,20
2017-02,32
2017-03,22
2017-04,13
2017-05,8
2017-06,6
2017-07,4
2017-08,5
2017-09,8
2017-10,10
2017-11,11
2017-12,23
2018-01,63
2018-02,54
2018-03,22
2018-04,14
2018-05,8
2018-06,5
2018-07,4
2018-08,5
2018-09,9
2018-10,12
2018-11,11
2018-12,15
2019-01,23
2019-02,33
2019-03,33
2019-04,15
2019-05,8
2019-06,5
2019-07,4
2019-08,5
2019-09,9
2019-10,12
2019-11,13
2019-12,29
2020-01,54
2020-02,71
2020-03,100
2020-04,74
